2008
January,24.8522(9.15229, 7.11761),24.9111(5.46564, 4.44943),192.819
February,27.5028(11.5569, 9.42253),24.7828(5.42648, 4.41035),166.029
March,23.2008(11.3799, 9.08629),22.1885(4.61609, 3.70603),183.546
April,17.7375(9.62172, 7.67486),17.8193(4.63636, 3.67982),125.012
May,13.6556(11.1361, 8.69012),15.8423(4.55534, 3.70888),94.2965
June,17.7708(11.5422, 9.1167),13.648(4.26569, 3.53),71.4497
July,19.2008(13.4926, 10.5331),12.3856(3.91736, 3.11048),58.5748
August,17.5234(11.5038, 9.10066),12.4709(4.56645, 3.80756),127.361
September,20.7158(12.733, 10.09),14.5816(4.09227, 3.17373),133.289
October,19.5844(11.4011, 9.1028),17.2684(5.345, 4.03989),184.198
November,22.17(11.2593, 8.97106),17.4738(3.88032, 3.20808),217.605
December,21.4619(9.3696, 7.35257),20.2548(4.82014, 3.74168),249.285
